DATE,CITY_NAME,SKU_ID,SKU_NAME,BRAND_ID,BRAND,IMAGE_URL,CATEGORY_ID,CATEGORY_NAME,SUB_CATEGORY_ID,SUB_CATEGORY_NAME,EST_QTY_SOLD,EST_SALES_SP,EST_SALES_MRP,LISTED_DS_COUNT,DS_COUNT,WT_OSA,WT_OSA_LS,MRP,SP,DISCOUNT
2025-03-29,Kochi,567734,Sweet Karam Coffee Spicy Masala Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/da/cms-assets/cms/product/fb3cecb2-e76f-4f91-a929-29f71c7c9157.jpg?ts=1731910040,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,7,7,1.000000,1.000000,99.0,69.0,0.3030303
2025-03-16,Mohali,559017,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ca2c0c6-031b-461c-9285-628af2265a90.jpg?ts=1720425042,1237,Munchies,1178,Bhujia & Mixtures,0,0.0,0.0,5,6,0.833333,1.000000,297.0,267.0,0.1010101
2025-03-27,Mysore,572142,Sweet Karam Coffee Spicy Masala Papad - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/da/cms-assets/cms/product/25e605be-4252-40bb-aec3-ec578bf4dc1d.jpg?ts=1730044199,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,3,5,0.400000,0.666667,198.0,137.0,0.3080808
2025-03-17,Erode,572142,Sweet Karam Coffee Spicy Masala Papad - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/da/cms-assets/cms/product/25e605be-4252-40bb-aec3-ec578bf4dc1d.jpg?ts=1730044199,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,1.000000,1.000000,198.0,137.0,0.3080808
2025-03-09,Yamunanagar,547731,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,1237,Munchies,1178,Bhujia & Mixtures,1,93.0,99.0,1,1,1.000000,1.000000,99.0,93.0,0.0606061
2025-03-22,Mathura,559016,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/08af4215-0111-44c4-b719-6b4265d536c3.jpg?ts=1720425035,1237,Munchies,1178,Bhujia & Mixtures,0,0.0,0.0,1,1,1.000000,1.000000,198.0,184.0,0.0707071
2025-03-24,Ahmedabad,559017,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ca2c0c6-031b-461c-9285-628af2265a90.jpg?ts=1720425042,1237,Munchies,1178,Bhujia & Mixtures,1,267.0,297.0,26,31,0.516129,0.615385,297.0,267.0,0.1010101
2025-03-16,Manipal,572165,Sweet Karam Coffee Mini Chilli Potato Papad - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/15c27f90-61f7-44a5-9bfc-37fbeb060e28.jpg,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,1.000000,1.000000,198.0,135.0,0.3181818
2025-03-10,Coimbatore,567600,Sweet Karam Coffee Mini Sabudana Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/c118de67-3b0e-422b-9fec-3c44649ee195.jpg?ts=1725968728,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,3,3,1.000000,1.000000,99.0,69.0,0.3030303
2025-03-23,Dera Bassi,547731,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,1237,Munchies,1178,Bhujia & Mixtures,0,0.0,0.0,1,1,1.000000,1.000000,99.0,93.0,0.0606061
2025-03-25,Pune,612180,Sweet Karam Coffee Mini Sabudana Papad - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/05ade771-90a4-45b2-99c6-00276e429951.jpg?ts=1738137845,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,5,55,0.036364,0.400000,297.0,202.0,0.3198653
2025-03-26,Ghaziabad,547731,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,1237,Munchies,1178,Bhujia & Mixtures,12,1116.0,1188.0,24,24,1.000000,1.000000,99.0,93.0,0.0606061
2025-03-26,Ghaziabad,547731,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,17390,Sweet Karam Coffee,http://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,1237,Munchies,1178,Bhujia & Mixtures,11,1023.0,1089.0,24,24,1.000000,1.000000,99.0,93.0,0.0606061
2025-03-01,Chennai,547731,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,1237,Munchies,1178,Bhujia & Mixtures,4,372.0,396.0,39,39,1.000000,1.000000,99.0,93.0,0.0606061
2025-03-16,Bengaluru,567594,Sweet Karam Coffee Mini Chilli Potato Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/09ce1611-d4b4-45b9-8f0e-771b85a4e59d.jpg,1237,Munchies,80,Papad & Fryums,15,1020.0,1485.0,105,106,0.622642,0.628571,99.0,68.0,0.3131313
2025-03-23,Mumbai,612178,Sweet Karam Coffee Mini Creamy Onion Papad - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/502ed09d-480c-4853-b599-a286a4765f17.jpg?ts=1738137828,1237,Munchies,80,Papad & Fryums,4,808.0,1188.0,11,99,0.040404,0.363636,297.0,202.0,0.3198653
2025-03-20,Mumbai,567600,Sweet Karam Coffee Mini Sabudana Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/c118de67-3b0e-422b-9fec-3c44649ee195.jpg?ts=1725968728,1237,Munchies,80,Papad & Fryums,7,476.0,693.0,98,99,0.464646,0.469388,99.0,68.0,0.3131313
2025-03-11,Agra,559017,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ca2c0c6-031b-461c-9285-628af2265a90.jpg?ts=1720425042,1237,Munchies,1178,Bhujia & Mixtures,2,534.0,594.0,6,6,0.666667,0.666667,297.0,267.0,0.1010101
2025-03-22,Hyderabad,547731,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,1237,Munchies,1178,Bhujia & Mixtures,77,7161.0,7623.0,54,54,1.000000,1.000000,99.0,93.0,0.0606061
2025-03-07,Chennai,612172,Sweet Karam Coffee Spicy Masala Papad - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/05fbb293-096e-4fa2-8cea-dea296d7aad4.jpg?ts=1738137787,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,5,41,0.024390,0.200000,297.0,205.0,0.3097643
2025-03-01,Vellore,567734,Sweet Karam Coffee Spicy Masala Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/da/cms-assets/cms/product/fb3cecb2-e76f-4f91-a929-29f71c7c9157.jpg?ts=1731910040,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,1.000000,1.000000,99.0,69.0,0.3030303
2025-03-24,Hyderabad,612171,Sweet Karam Coffee Mini Jeera Papad Chips - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/f17f167a-00f0-4cd4-aaac-0ea7c79e4c2a.jpg?ts=1738137775,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,9,54,0.018519,0.111111,297.0,205.0,0.3097643
2025-03-21,Madurai,559017,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ca2c0c6-031b-461c-9285-628af2265a90.jpg?ts=1720425042,1237,Munchies,1178,Bhujia & Mixtures,0,0.0,0.0,1,1,1.000000,1.000000,297.0,267.0,0.1010101
2025-03-29,Sonipat,559017,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ca2c0c6-031b-461c-9285-628af2265a90.jpg?ts=1720425042,1237,Munchies,1178,Bhujia & Mixtures,1,267.0,297.0,3,3,0.666667,0.666667,297.0,267.0,0.1010101
2025-03-07,Mangaluru,547731,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,1237,Munchies,1178,Bhujia & Mixtures,6,558.0,594.0,1,1,1.000000,1.000000,99.0,93.0,0.0606061
2025-04-01,Navsari,559016,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/08af4215-0111-44c4-b719-6b4265d536c3.jpg?ts=1720425035,1237,Munchies,1178,Bhujia & Mixtures,2,368.0,396.0,1,1,1.000000,1.000000,198.0,184.0,0.0707071
2025-03-07,Manipal,567596,Sweet Karam Coffee Mini Jeera Papad Chips,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ca994a0a-aa58-422c-853a-259e436417ab.jpg,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,1.000000,1.000000,99.0,68.0,0.3131313
2025-03-31,Mangaluru,567594,Sweet Karam Coffee Mini Chilli Potato Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/09ce1611-d4b4-45b9-8f0e-771b85a4e59d.jpg,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,0.000000,0.000000,99.0,68.0,0.3131313
2025-04-01,Zirakpur,547731,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,1237,Munchies,1178,Bhujia & Mixtures,2,180.0,198.0,4,4,1.000000,1.000000,99.0,90.0,0.0909091
2025-03-30,Gurgaon,559016,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/08af4215-0111-44c4-b719-6b4265d536c3.jpg?ts=1720425035,1237,Munchies,1178,Bhujia & Mixtures,28,5152.0,5544.0,57,57,0.947368,0.947368,198.0,184.0,0.0707071
2025-04-01,Mangaluru,567594,Sweet Karam Coffee Mini Chilli Potato Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/09ce1611-d4b4-45b9-8f0e-771b85a4e59d.jpg,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,0.000000,0.000000,99.0,68.0,0.3131313
2025-03-27,Mohali,559017,"Sweet Karam Coffee Madras Mixture Namkeen, - No Palm Oil - Pack of 3",17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ca2c0c6-031b-461c-9285-628af2265a90.jpg?ts=1720425042,1237,Munchies,1178,Bhujia & Mixtures,4,1068.0,1188.0,5,5,0.800000,0.800000,297.0,267.0,0.1010101
2025-03-24,Rohtak,559017,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/9ca2c0c6-031b-461c-9285-628af2265a90.jpg?ts=1720425042,1237,Munchies,1178,Bhujia & Mixtures,1,267.0,297.0,2,2,0.500000,0.500000,297.0,267.0,0.1010101
2025-03-16,Vijayawada,567734,Sweet Karam Coffee Spicy Masala Papad,17390,Sweet Karam Coffee,https://cdn.grofers.com/da/cms-assets/cms/product/fb3cecb2-e76f-4f91-a929-29f71c7c9157.jpg?ts=1731910040,1237,Munchies,80,Papad & Fryums,2,138.0,198.0,5,5,1.000000,1.000000,99.0,69.0,0.3030303
2025-03-05,Chennai,612172,Sweet Karam Coffee Spicy Masala Papad - Pack of 3,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/05fbb293-096e-4fa2-8cea-dea296d7aad4.jpg?ts=1738137787,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,5,41,0.024390,0.200000,297.0,205.0,0.3097643
2025-03-05,Mangaluru,567596,Sweet Karam Coffee Mini Jeera Papad Chips,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/ca994a0a-aa58-422c-853a-259e436417ab.jpg,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,0.000000,0.000000,99.0,68.0,0.3131313
2025-04-01,Lonavala,572139,Sweet Karam Coffee Mini Creamy Onion Papad - Pack of 2,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/5d13d992-0e99-4263-8362-b7a8d2a48e08.jpg?ts=1727421332,1237,Munchies,80,Papad & Fryums,0,0.0,0.0,1,1,1.000000,1.000000,198.0,135.0,0.3181818
